Year,Place,Points,No.,Country,Performer,Song,Lyrics
2023,13,123,25,Croatia,Let 3,Mama ŠČ!,"Mama kupila traktora, šč
Mama kupila traktora, šč
Mama kupila traktora
Trajna-nina, armagedon, nona, šč
Mama kupila traktora, šč
Mama kupila traktora, šč
Mama kupila traktora
Trajna-nina, armagedon, nona
Traktora
Mama ljubila morona, šč
Mama ljubila morona, šč
Mama ljubila morona
Trajna-nina, armagedon, nona
A, b, c, č, ć, d, dž, đ , a, b, c, č, ć, d, dž, đ
E, f, g, h, i, j, k, l, lj, m, n, nj
A, b, c, č, ć, d, dž, đ, oprez, oprez
O, p, r, s, š, t, u, v, z, ž, d, z, v, d, z
Mama, mama, mama, ja se idem igrat
Mama, idem u rat
Onaj mali psihopat, r-r-rat, rat
Mali, podli psihopat, r-r-rat, rat
Krokodilski psihopat, r-r-rat, rat
Mama, idem u rat
Traktora
Mama ljubila morona, šč
Mama ljubila morona, šč
Mama ljubila morona
Trajna-nina, armagedon, nona
Onaj mali psihopat
Mali, podli psihopat, rat, rat
Krokodilski psihopat
Mama, idemo u rat
Onaj mali psihopat
Mali, podli psihopat, rat, rat
Krokodilski psihopat
Mama, idem u rat
Mama, mama, mama
Onaj mali psihopat
Mali, podli psihopat, rat, rat
Krokodilski psihopat
Mama, idem u rat
Šč
"
2023,14,122,17,Armenia,Brunette,Future Lover,"I just wanna make art
Read books and just find someone
Who likes me enough to kiss my face
I wanna explore with him
And visit old bookstores and cute little things
Like drink smoothies at near cafés
Oh-oh-oh
Oh-oh-oh
Oh-oh-oh
Drink smoothies at near cafés
Oh-oh-oh
Oh-oh-oh
Oh-oh-oh
Oh, future lover
I hope it all comes naturally
I hope our love is quiet outside, but loud inside, oh baby
Oh, future lover
This song I wrote for you
This song I wrote for you, my future lover
I decide to be good, do good, look good
I decide to be good, do good, look good
I decide to be good, do good, look good
I decide to be good, do good, look good
It's like a daydream, but I got some other better plans
I wanna scream and shout
My heart caught in chains
Cold heart, cold hands
Fire in my veins
Fire in my veins, heart in chains
I'm a volcano that is going to explode in a sec
I'm so hypnotised by someone that I've never ever met
Don't wanna forget, am I dreaming yet?
Poetic dream, I don't want it to end, oh
Three minutes of making impossible plans
Seven minutes of unnecessary panic attacks
Here I go with the coldest hands
Here I go with still no plans oh, still no plans
I can't cool off, no I can't relax
Lord, what I'm gonna do, my pain just attacks
I still have the coldest hands
Oh my Lord, my Lord, my pain, my panic attacks, oh
I decide to be good, do good, look good
I decide to be good, do good, look good
I decide to be good, do good, look good
I decide to be good, do good, look good
Ու դու ինձնից հեռու
Լքված ես հեռու, հեռու ես դու
Երազումս ես ու դու էինք լուռ
Մոլորվում էինք հեռու - հեռու հեռվում
"
2023,15,120,1,Austria,Teya & Salena,Who The Hell Is Edgar?,"Oh my God, you're such a good writer
Oh, it's not me, it's Edgar
Who the hell is Edgar?
There's a ghost in my body and he is a lyricist
It is Edgar Allan Poe, and I think he can't resist
Yeah, his brain is in my hand and it's movin' really fast, hmm
Don't know how he possessed me, but I'm happy that he did
'Cause this song is feelin' special, and is gonna make me rich
Yeah, the words are spillin' out, what the heck is this about? Hmm
Oh, mio padre, there's a ghost in my body
Oh-oh-oh-oh-oh-oh
Poe, Poe, Poe, Poe, Poe
Poe, Poe, Poe, Poe, Poe
Poe, Poe, Poe, Poe, Poe
Edgar Allan, Edgar Allan
Poe, Poe, Poe, Poe, Poe
Poe, Poe, Poe, Poe, Poe
Poe, Poe, Poe, Poe, Poe
Edgar Allan Poe
Maybe I should call a doctor or an exorcist
Maybe someone out there knows where Shakespeare is, so I can get a taste (hey)
What's your IPI? Where's the A&R?
Girl, call Universal, you're about to be a star
Poe, Poe, Poe, Poe, Poe
Poe, Poe, Poe, Poe, Poe
Poe, Poe, Poe, Poe, Poe
Edgar Allan, Edgar Allan
Poe, Poe, Poe, Poe, Poe
Poe, Poe, Poe, Poe, Poe
Poe, Poe, Poe, Poe, Poe
Edgar Allan
Who the hell is Edgar?
oh, mio padre
(Poe, Poe, Poe, Poe, Poe)
(Poe, Poe, Poe, Poe, Poe) there's a ghost in my body
(Edgar Allan, Edgar Allan)
(Poe, Poe, Poe, Poe, Poe) oh, mio padre
(Poe, Poe, Poe, Poe, Poe)
(Poe, Poe, Poe, Poe, Poe) there's a ghost in my body
(Edgar Allan)
Zero, dot, zero, zero, three
Give me two years, and your dinner will be free
Gas station, champagne is on me
Edgar cannot pay rent for me
Zero, dot, zero, zero
Zero, dot, zero, zero
Zero, dot, zero, zero, three
At least it pays to be funny
oh, mio padre
(Poe, Poe, Poe, Poe, Poe)
(Poe, Poe, Poe, Poe, Poe) there's a ghost in my body
(Edgar Allan, Edgar Allan)
(Poe, Poe, Poe, Poe, Poe) oh, mio padre
(Poe, Poe, Poe, Poe, Poe)
(Poe, Poe, Poe, Poe, Poe) there's a ghost in my body
(Edgar Allan, Edgar Allan)
oh, mio padre
(Poe, Poe, Poe, Poe, Poe)
(Poe, Poe, Poe, Poe, Poe) there's a ghost in my body
(Edgar Allan, Edgar Allan)
(Poe, Poe, Poe, Poe, Poe) oh, mio padre
(Poe, Poe, Poe, Poe, Poe)
(Poe, Poe, Poe, Poe, Poe) there's a ghost in my body
(Edgar Allan, Edgar Allan)
Oh, mio padre, there's a ghost in my body
Oh-oh, oh-oh, oh, oh
Who the hell is Edgar?"
2023,16,104,6,France,La Zarra,Évidemment,"Mon cœur, mes mains, mes yeux, mes reins
Plus rien ne m'appartient
J'me fais du mal pour faire du bien
J'oublie comme si c'n'était rien
Dans mon jardin d'enfer poussent des fleurs
Que j'arrose de mes rêves, de mes pleurs
On a beau être sur le toit du monde
On ne peut toucher le ciel du doigt
Évidemment
Toutes ces belles promesses que j'entends
C'n'est que du vent
Évidemment
Car après l'beau temps vient la pluie
C'est c'qu'on oublie
C'est toujours trop beau pour être vrai, mais
C'n'est jamais trop laid pour être faux
Évidemment
Elle ne sera plus jamais la même
Cette fille d'avant
Je vends demain, j'rachète hier
Le temps est assassin
Je cherche l'amour, je n'trouve rien
Comme dans mon sac à main
Dans ma tête, c'n'est pas tant évident
Je cherche la vérité tout en l'évitant
On a beau être sur le toit du monde
On ne peut toucher le ciel du doigt
Évidemment
Toutes ces belles promesses que j'entends
C'n'est que du vent
Évidemment
Elle ne sera plus jamais la même
Cette fille d'avant
Car moi, je chante
Ma vie, la vôtre et un peu de romance
Je suis nue devant vous
Donnez-moi donc une chance
De vous à moi, de moi à vous
Ai-je réussi à chanter
À chanter la Grande France?
C'est toujours trop beau pour être vrai, mais
C'n'est jamais trop laid pour être faux
Évidemment
Elle ne sera plus jamais la même
Cette fille d'avant
Évidemment"
2023,17,100,8,Spain,Blanca Paloma,Eaea,"Ya, ea
Ya, eaea (¡ole!)
Ay, ven a mí, niño mío (ya)
Ay, ven a mí, niño mío
Duerme a mi vera
Que en mi pecho hay abrigo
Abriguito pa tu pena
Ya, eaea, ya, ea, ea
Ya, eaea, ya, ea, ea
Ya, eaea, ya, ea, ea
Lagrimitas del Nilo, noches en vela
Mi niño, cuando me muera
Que me entierren en la luna
Y toa' las noches te vea
Y toa' las noches te vea
Y toa' las noches te vea
Toa' las noche' meno una (¡ole!)
Ay, ven a mí, niño mío
Ay, niño mío, chiquito mío
Chiquito de mis amores
Que en la noche me iluminan
Tus ojos sole (ole)
Ya, eaea, ya, ea, ea
Ya, eaea, ya, ea, ea
Ya, eaea, ya, ea, ea (¡sí, sí, sí!)
Lagrimitas del Nilo, noches en vela
Mi niño, cuando me muera
Que me entierren en la luna
Y toa' las noches te vea
Y toa' las noches te vea
Y toa' las noches te vea
¡Vamos allá, la Blanca Paloma!
Mi niño, cuando me muera
Que me entierren en la luna
Y toa' las noches te vea
Toa' las noche' meno una
Ya, eaea, ya, ea, ea
Ya, eaea, ya, ea, ea
Lagrimitas del Nilo, noches en vela (¡sí, sí, sí!)
Ya, eaea, ya, ea, ea (¡eh!)
Ya, eaea, ya, ea, ea
Ya, eaea, ya, ea, ea"
2023,18,96,18,Moldova,Pasha Parfeni,Soarele şi Luna,"Codrule cu frunză deasă
Cred că mi-am găsit mireasă
(Așa, așa, așa, așa, așa, așa)
Nistrule cu apă lină
M-am pierdut și ea-i de vină
(Așa, așa, așa, așa, așa, așa)
I-am cântat eu doine multe
Pân-a vrut să mă sărute ea
(Așa, așa, așa, așa, așa, așa)
Păi, am cântat-o, am dansat-o
În tot felul răsfățat-o
(Așa, așa, așa, așa, așa, așa)
Soarele, Soarele, Soarele și Luna
Ne-or ține, ne-or ține, ne-or ține cununa
Soarele, Soarele, Soarele și Luna
Ne-or ține, ne-or ține, ne-or ține cununa
Soarele, Soarele, Soarele și Luna
Ne-or ține, ne-or ține, ne-or ține cununa
Soarele, Soarele, Soarele și Luna
Ne-or ține, ne-or ține, ne-or ține cununa
I-am promis miresei mele
Nuntă sub un cer cu stele
(Așa, așa, așa, așa, așa, așa)
I-am dat în a șaptea seară
Un inel cu piatră rară
(Așa, așa, așa, așa, așa, așa)
Soarele și Luna
Soarele și Luna
Ne-or ține cununa
Ne-or ține cununa
Soarele, Soarele, Soarele și Luna
Ne-or ține, ne-or ține, ne-or ține cununa
I-am promis miresei mele
Nuntă sub un cer cu stele
I-am dat în a șaptea seară
I-am dat în a șaptea seară
Un inel cu piatră rară
Soarele și Luna
Soarele și Luna
Ne-or ține cununa
Ne-or ține cununa
Soarele, Soarele, Soarele și Luna
Ne-or ține, ne-or ține, ne-or ține cununa
Soarele, Soarele, Soarele și Luna
Ne-or ține, ne-or ține, ne-or ține cununa
Soarele, Soarele, Soarele și Luna
Ne-or ține, ne-or ține, ne-or ține cununa"
2023,19,93,4,Poland,Blanka,Solo,"Baby
It's kind of crazy
How else to phrase it?
With you I've lost my senses
Baby
What happened to ya?
I thought I knew ya
But now it's time to face it
You're hot and cold
High and you're low
Messin' with my mind
No, oh-oh, that's not how it goes
So, let me spell it out
Now I'm better solo, solo
I never let me down, didi-down-down-down
Now I'm gonna show ya, show ya
Show you what it is you're missing out
Now I'm better solo, solo
I never let me down, didi-down-down-down
Now I'm gonna show ya, show ya
How I be getting down, solo
Tell me
Now, was it worth it? (Oh)
Playin' me dirty (oh)
But now who's laughing, baby?
Watch me
All eyes on me now
Bet you regret how
What goes around comes around
You're hot and cold
High and you're low
Messin' with my mind
No, oh-oh, that's not how it goes
So, let me spell it out
Now I'm better solo, solo
I never let me down, didi-down-down-down
Now I'm gonna show ya, show ya
Show you what it is you're missing out
Now I'm better solo, solo
I never let me down, didi-down-down-down
Now I'm gonna show ya, show ya
How I be getting down, solo
No, no, I'm going solo
Yeah, ya better, better, watch me now
'Cause I know how to let go
Gonna make it, make it on my own, whoa
Oh, no, I'm going solo
Yeah, ya better, better, watch me now
'Cause I know how to let go
So, it's clear to see I'm
Now I'm better solo, solo
I never let me down, didi-down-down-down
Now I'm gonna show ya, show ya
Show you what it is you're missing out
Now I'm better solo, solo
I never let me down, didi-down-down-down
Now I'm gonna show ya, show ya
How I be getting down, solo"
2023,20,92,3,Switzerland,Remo Forrer,Watergun,"When we were boys
We played pretend
Army tanks
And army men
Hide and seek
Grow to be the kings we dream
Where did we go?
We're standin' on the frontline
Where did we go?
We go?
I don't wanna be a soldier, soldier
I don't wanna have to play with real blood
We ain't playin' now
Can't turn and run
No water guns
No, no
I don't wanna be a soldier, soldier
I don't wanna have to play with real blood
'Cause we ain't playin' now
Can't turn and run
No water guns
Just body bags that we've become
Adolescence, breaking rules
Nothin' hurts when you're bulletproof
I remember, yes, I do, I do
Where did we go?
We're standin' on the frontline
Where did we go?
We go?
I don't wanna be a soldier, soldier
I don't wanna have to play with real blood
We ain't playin' now
Can't turn and run
No water guns
No no
I don't wanna be a soldier, soldier
I don't wanna have to play with real blood
'Cause we ain't playin' now
Can't turn and run
No water guns
Just body bags that we've become
What we've become
What we've become
What we've become
Playin' with water guns
Not playin' with water guns"
2023,21,78,24,Slovenia,Joker Out,Carpe Diem,"Mi bomo celo noč plesali
Ljubili se in se igrali
Kot da nas jutri več ne bo
Vedno manj besed
Tank led pod nogami žge
Mi pa bežimo s prepiha
810 000 let mroaš delat le
Da duša malo zadiha
ti loviš, če preživiš
(Jaz ti bom vzel vse) ti ničesar no dobiš
(Ah-ah-ah) si tega res želiš?
Igra sovraštva je za vas
Hvala lepa, ne računajte na nas
Na nas
Mi bomo celo noč plesali (ah-ah)
Ljubili se in se igrali (ah-ah)
Kot da nas jutri več ne bo (kot da nas jutri več ne bo)
Ne bomo šteli ur do zore (ah-ah)
Preskakovali bomo gore (ah-ah)
Da nas objame nebo
Prvi dež odplaknil ves bo blišč
Da ne bi kradel magije s plesišč
Tema bo prižgala žar v očeh
Igra sovraštva je za vas
Hvala lepa, ne računajte na nas
Še bolj na glas
Mi bomo celo noč plesali (ah-ah)
Ljubili se in se igrali (ah-ah)
Kot da nas jutri več ne bo (kot da nas jutri več ne bo)
Ne bomo šteli ur do zore (kot da nas jutri več ne bo)
Preskakovali bomo gore (kot da nas jutri več ne bo)
Sprejeli, da smo večni samo in srečni samo
Ko objema nas nebo
Vso noč do jutra smo plesali
Ljubili se in se igrali
Živeli kot da jutri nas mogoče več ne bo
"
2023,22,76,10,Albania,Albina & Familja Kelmendi,Duje,"Diçka mrena frymen ma nal
S'di çka bohet, bohet po du me nal
(Ç'ka o' ka bohet)
Krejt tu i pas
E krejt tuj pas, s'po muj mu knaq
(Pse?)
Jan' tu u nda'
Veç për ni' fjalë
Janë tu u nda', dashnin' kanë vra
Janë tu u nda'
E kane harru se kan ni' shpi
Sofër me fmi'
Duje, si dikur, ti duje
At dashni', ti ruje
Si jeten, ti duje
Mos e gjuj me gur'e
Si dikur, ti duje
At dashni' ti ruje
Si jetën, ti duje
Jan' tu u nda'
Veç për ni' fjalë
Janë tu nda', dashnin' kanë vra
Janë tu u nda'
E kanë harru se kanë ni' shpi
Sofër me fmi'
Ti duje, si dikur ti duje
At dashni', ti ruje
Si jetën, ti duje
Mos e gjuj me gur'e
Si dikur ti duje
At dashni', ti ruje
Si jetën, ti duje
Jan' tu u nda'
(Duje, duje) Veç për ni' fjalë
Janë tu u nda, dashnin' kanë vra (duje, duje)
Janë tu u nda' (duje, duje)
E kanë harru se kanë ni' shpi
Sofër me fmi' (duje, duje)"
2023,23,59,2,Portugal,Mimicat,Ai Coração,"Ai coração, que não me deixas em paz
Não me dás sossego, não me deixas capaz
Tenho a cabeça e a garganta num nó
Que não se desfaz, e nem assim tu tens dó
Sinto-me tonta, cada dia pior
Já não sei de coisas que sabia de cor
As pulsações subiram quase p'ra mil
Estou louca, completamente senil
O peito a arder, a boca seca, eu sei lá
O que te fazer? Amor p'ra mim assim não dá
Porque parece que nem sou mais eu
Ai coração
Ai coração
Diz-mе lá se és meu
As horas passam е o sono não vem
Ouço as corujas e os vizinhos também
O meu juízo foi-se e por lá ficou
Alguém me tire deste estado em que estou
O doutor diz que não há nada a fazer
""Caso perdido"", vi-o eu a escrever
Ando perdida numa outra dimensão
Toda eu sou uma grande confusão
O peito a arder, a boca seca, eu sei lá
O que te fazer? Amor p'ra mim assim não dá
Porque parece que nem sou mais eu
Ai coração
Ai coração
Ai coração
Diz-me lá se és meu
O peito a arder, a boca seca eu sei lá
O que te fazer? Amor p'ra mim assim não dá
Porque parece que nem sou mais eu
Ai coração
Ai coração
Ai coração
Ai coração
Diz-me lá se és meu
Hey"
2023,24,30,5,Serbia,Luke Black,Samo Mi Se Spava,"Baby, watch the world on fire
It is all a game to me
Oh, I don't wanna choose my fighter
Who's taking control of me?
Hello?
Samo mi se spava
Spavaj
Ooh
I just wanna sleep forever (s-spavam)
I like it better when I dream
Želim zauvek da spavam (s-spavam)
Dok svet gori
I just wanna close my eyes (s-spavam)
And just get it over with
Želim zauvek da spavam (s-spavam)
Dok svet gori
A noć je, beskonačni sati
Na ramenu đavoli
Želim samo večno spati
Tako da ih pobedim
Hello?
Game over
Spavaj
(Samo mi se spava, uh)
I just wanna sleep forever (s-spavam)
I like it better when I dream
Želim zauvek da spavam (s-spavam)
Dok svet gori
I just wanna close my eyes
And just get it over with
Želim zauvek da spavam (s-spavam)
Dok svet gori (this ends now)
War, glad je
Bez nade
Savest spava (s-spava)
Dok svet gori
Gori, kraj je
Mrak traje
Razum spava (s-spava)
Dok svet gori
S-spavam
Samo mi se spava
Samo mi se spava"
2023,25,24,26,United Kingdom,Mae Muller,I Wrote A Song,"Oh, yeah
Oh-oh-oh-oh
When you said you were leaving
To work on your mental health
You didn't mention the cheating, yeah
You kept that one to yourself
I got so mad, was gonna
Cuss you out outside your house
For everyone to see
Wanted to trash your Benz, tell all your friends
How cruel you were to me, to me, to me
Instead, I wrote a song 'bout how you did me wrong
I could've cried at home and spent the night alone
Instead, I wrote a song, I feel much better now
Me and my girls are out, and we all sing along
Instead, I wrote a song
Da-da-da-da-da-di
Da-da-da-da-da-di (whoo-whoo)
Da-da-da-da-da-di
Instead, I wrote a song
Da-da-da-da-da-di
Da-da-da-da-da-di (whoo-whoo)
Da-da-da-da-da-di
Instead, I wrote a song
I kept my cool and composure
My mother would be so proud (she would be so proud)
I was ready for a sentence, baby
Instead, I wrote it all down
Oh, I was gonna
Cuss you out outside your house
For everyone to see
Wanted to trash your Benz, tell all your friends
How cruel you were to me, to me, to me
Instead, I wrote a song 'bout how you did me wrong
I could've cried at home and spent the night alone
Instead, I wrote a song, I feel much better now
Me and my girls are out, and we all sing along
Instead, I wrote a song
Da-da-da-da-da-di
Da-da-da-da-da-di (whoo-whoo)
Da-da-da-da-da-di
Instead, I wrote a song
Da-da-da-da-da-di
Da-da-da-da-da-di (whoo-whoo)
Da-da-da-da-da-di
Instead, I wrote a song
Let's celebrate, dance it away
I thought my heart would break
Instead, I wrote a song 'bout how you did me wrong
I could've cried at home and spent the night alone
Instead, I wrote a song, I feel much better now
Me and my girls are out, and we all sing along
Instead, I wrote a song
"
2023,26,18,21,Germany,Lord of the Lost,Blood & Glitter,"Blood and glitter
Sweet and bitter
We're so happy we could die
Blood and glitter
What we are is but a choice
A promise to ourselves
We are free to break and change
Never forget? Let it go
This or that? No need to know
Whether above or below
We are all from the same blood
Blood and glitter
Sweet and bitter
We're so happy we could die
Blood and glitter
Sweet and bitter
We're so happy we could die
Blood and glitter
Saint and sinner
We do fall before we rise
Now go, go, (let your blood) flow, flow
With broken wings, we learn to fly
We are blood and glitter
Keep your head up in the clouds
With two feet on the ground
Life's too fast so make it count
Never forget? Let it go
This or that? No need to know
Whether above or below
We are all from the same blood
Blood and glitter
Sweet and bitter
We're so happy we could die
Blood and glitter
Saint and sinner
We do fall before we rise
Now go, go, (let your blood) flow, flow
With broken wings, we learn to fly
We are blood and glitter
Go, go, (let your blood) flow, flow
Blood and glitter
Go, go, (let your blood) flow
Blood and glitter
Sweet and bitter
We're so happy we could die
Blood and glitter
Sweet and bitter
We're so happy we could die
Blood and glitter
Saint and sinner
We do fall before we rise
Now go, go, (let your blood) flow, flow
With broken wings, we learn to fly
We are blood and glitter
Blood and glitter
"
2022,1,631,12,Ukraine,Kalush Orchestra,Stefania,"Стефанія мамо, мамо Стефанія
Розквітає поле, а вона сивіє
Заспівай мені мамо колискову
Хочу ще почути твоє рідне слово
Вона мене колисала дала мені ритм
І напевне силу волі не забрати в мене, бо дала вона
Напевне знала може більше і від Соломона
Ломаними дорогами прийду я завжди до тебе
Вона не розбудить, не будить, мене в сильні бурі
Забере в бабулі дві дулі, ніби вони кулі
Дуже добре знала мене не була обманута
Як була дуже втомлена, гойдала мене в такт
Люлі люлі люлі гой
Стефанія мамо, мамо Стефанія
Розквітає поле, а вона сивіє
Заспівай мені мамо колискову
Хочу ще почути твоє рідне слово
Я не в пеленах но ма но ма, хватить
Як би я не виріс на виріст за речі платить
Я не мала дитина, вона далі нерви тратить
Я гуляв, шляк би тебе трафив
Ти все молода о мамо на піку
Якщо не ціню опіку на піку слави мені в тупіку
Забивайте піку цю піку, я би попік спік, своєю любов′ю
Люлі люлі люлі гой
Стефанія мамо, мамо Стефанія
Розквітає поле, а вона сивіє
Заспівай мені мамо колискову
Хочу ще почути твоє рідне слово
Стефанія мамо, мамо Стефанія
Розквітає поле, а вона сивіє
Заспівай мені мамо колискову
Хочу ще почути твоє рідне слово
"
2022,2,466,22,United Kingdom,Sam Ryder,SPACE MAN,"If I was an astronaut, I'd be floating in mid-air
And a broken heart would just belong to someone else down there
I would be the centre of my lonely universe
But I'm only human, and I'm crashing down to earth
If I was an astronaut, I'd have a bird's eye view
I'd circle 'round the world and keep on coming back to you
In my floating castle, I'd rub shoulders with the stars
But I'm only human, and I'm drifting in the dark
I'm up in space, man
Up in space, man
I've searched around the universe
Been down some black holes
There's nothing but space, man
And I wanna go home
If I was an astronaut, I'd speak to satellites
My navigation systems would search for other life
But I'd be up here thinking 'bout what I left behind
'Cause I'm only human with the real world on my mind
I'm up in space, man
Up in space, man
I've searched around the universe
Been down some black holes
There's nothing but space, man
And I wanna go home
Gravity keeps pulling me down
As long as you're on the ground, I'll stick around
Stick around
I'll stick around
I'm up in space, man
Up in space, man
I've searched around the universe
Been down some black holes
There's nothing but space, man, no
Oh, I'm in the wrong place, man
Nothing but, nothing but, nothing but space, man
Nothing but, nothing but, nothing but space, man
I've searched around the universe
Been down some black holes
Nothing but space, man
And I wanna go home
"
2022,3,459,10,Spain,Chanel,SloMo,"Let's go
Llegó la mami
La reina, la dura, una Bugatti
El mundo 'tá loco con este body
Si tengo un problema, no es monetary
Les vuelvo loquito' a todos los daddie'
Voy siempre primera, nunca secondary
Apena' hago doom, doom con mi boom, boom
Y le' tengo dando zoom, zoom on my yummy
Y no se confundan
Señora' y señore'
Yo siempre estoy ready
Pa' romper cadera', romper corazones
Solo existe una
No hay imitacione' (na, na)
Y si aún no me creen pue' me toca mostrárselo
Take a video
Watch it slow mo, mo, mo, mo, mo (yeah)
Booty hypnotic
Make you want more, more, more, more, more
Voy a bajarlo
Hasta el suelo-lo-lo-lo-lo (yeah)
If the way I shake it to this dembow (to this dembow)
Drives you loco (yeah)
Take a video, watch it slow mo
Te gusta to' lo que tengo
Te endulzo la cara en jugo de mango
Se te dispara cuando la prendo
Hasta el final, yo no me detengo
Take a sip of my cola-la
Ponte salvaje, na-na-na
Make it go like pa-pa-pa-pa
Like pa-pa-pa-pa-pa
Y no se confundan (y no se confundan)
Señora' y señore'
Yo siempre estoy ready (yo siempre estoy ready)
Pa' romper cadera', romper corazones (ah)
Solo existe una (solo existe una)
No hay imitacione' (na, na, na)
Y si aún no me creen pue' me toca mostrárselo (oye)
Take a video
Watch it slow mo, mo, mo, mo, mo
Booty hypnotic
Make you want more, more, more, more, more
Voy a bajarlo
Hasta el suelo-lo-lo-lo-lo
If the way I shake it to this dembow (to this dembow)
Drives you loco (yeah)
Take a video
Watch it slow mo, mo, mo, mo, mo
Booty hypnotic
Make you want more, more, more, more, more
Voy a bajarlo
Hasta el suelo-lo-lo-lo-lo
If the way I shake it to this dembow (to this dembow)
Drives you loco (yeah)
Y no se confundan (y no se confundan)
Señora' y señore'
Yo siempre estoy ready (yo siempre estoy ready)
Pa' romper cadera', romper corazones (oh)
Solo existe una (solo existe una)
No hay imitacione' (na, na, na)
Y si aún no me creen pue' me toca mostrárselo (oh, yeah)
Take a video
Watch it slow mo, mo, mo, mo, mo
Booty hypnotic
Make you want more, more, more, more, more
Voy a bajarlo
Hasta el suelo-lo-lo-lo-lo
If the way I shake it to this dembow (a este dembow)
Drives you loco (yeah)
Take a video, watch it slow mo"
2022,4,438,20,Sweden,Cornelia Jakobs,Hold Me Closer,"No need to apologize
'Cause there's nothing to regret
Well, this is not what I wanted
Guess all the good things come to an end
So baby, bye, bye
Wish you the best
But most of all, I wish that I could love you less
Well, maybe you're right, I'll find someone else
You say it isn't me, but when did that ever help?
Hold me closer
Although you'll leave before the sunrise
Might be bleeding, but don't you mind, I'll be fine
Oh, it kills me
I found the right one at the wrong time
But until the sunrise
Hold tight, hold tight
Maybe it happened too fast
I guess that I understand
You say that you never felt this way for anyone
And that's why it scares you to death
So baby, bye, bye
Know it's for the best
Still I can't see how that would ease the pain in my chest
Hold me closer
Although you'll leave before the sunrise
I'll be bleeding, but don't you mind, I'll be fine
Oh, it kills me
I found the right one at the wrong time
But until the sunrise
Could you just hold me tight?
I know I have to let go, but just give me the night
'Cause tomorrow will hurt
Hurt really bad
'Cause I'm about to lose the best I ever had
Hold me closer
Although you'll leave before the sunrise
I'll be bleeding, but don't you mind, I'll be fine
Oh, it kills me
I found the right one at the wrong time
But until the sunrise
Could you just hold me tight? (Hold tight, hold tight)
I know, I have to let go
But just give me the night (hold tight, hold tight)
Can't you see that you
Found the right one at the wrong time?
It was just the wrong time
Hold tight, hold tight
"
